Cyrillic,Latin
ˠя́я,jáː
ˠяя,jaː
ˠя́,já
ˠя,ja
ˠю́ю,júː
ˠюю,juː
ˠю́,jú
ˠю,ju
ˠё́ё,jóː
ˠёё,joː
ˠё́,jó
ˠё,jo
éӀeӀ,éˤː
eӀeӀ,eˤː
éӀ,éˤ
eӀ,eˤ
я́я,ʲáː
яя,ʲaː
я́,ʲá
я,ʲa
ю́ю,ʲúː
юю,ʲuː
ю́,ʲú
ю,ʲu
э́ӀэӀ,éˤː
эӀэӀ,eˤː
э́Ӏ,éˤ
эӀ,eˤ
э́э,éː
ээ,eː
э́,é
э,e
ыӀыӀ,ɨˤː
ыӀыӀ,ɨ́ˤː
ыӀ,ɨˤ
ыӀ,ɨ́ˤ
ыы,ɨː
ыы,ɨ́ː
ы́,ɨ́
ы,ɨ
щщ,šʲː
щ,šʲ
шш,šː
шв,šʷ
ш,š
чӀв,čʼʷ
чӀ,čʼ
чв,čʷ
ч,č
цӀ,cʼ
ц,c
хьхь,xː
хьв,xʷ
хь,x
хъ,q
хв,χʷ
х,χ
ф,f
у́ӀуӀ,úˤː
уӀуӀ,uˤː
у́Ӏ,úˤ
уӀ,uˤ
у́ьӀуьӀ,ǘˤː
уьӀуьӀ,üˤː
у́ьӀ,ǘˤ
уьӀ,üˤ
у́ьуь,ǘː
уьуь,üː
у́ь,ǘ
уь,ü
у́у,úː
уу,uː
у́,ú
у,u
тӀ,tʼ
т,t
сс,sː
св,sʷ
с,s
р,r
пӀ,pʼ
п,p
о́ӀоӀ,óˤː
оӀоӀ,oˤː
о́Ӏ,óˤ
оӀ,oˤ
о́о,óː
оо,oː
о̂́,ɞ́
о̂,ɞ
о́,ó
о,o
н,n
м,m
л,l
кӀв,kʼʷ
кӀ,kʼ
кьв,qʼʷ
кь,qʼ
къв,ɢʷ
къ,ɢ
кв,kʷ
к,k
й,j
и́ӀиӀ,íˤː
иӀиӀ,iˤː
и́Ӏ,íˤ
иӀ,iˤ
и́и,íː
ии,iː
и́,í
и,i
зв,zʷ
з,z
ж,ž
ё́ё,ʲóː
ёё,ʲoː
е́е,éː
ее,eː
ё́,ʲó
ё,ʲo
е́,é
е,e
джв,ǯʷ
дж,ǯ
д,d
гӀ,ɣ
гь,h
гъв,ʁʷ
гъ,ʁ
гв,gʷ
г,g
в,w
б,b
а́ӀаӀ,áˤː
аӀаӀ,aˤː
а́Ӏ,áˤ
аӀ,aˤ
а́ьӀаьӀ,ä́ˤː
аьӀаьӀ,äˤː
а́ьӀ,ä́ˤ
аьӀ,äˤ
а́ьаь,ä́ː
аьаь,äː
а́ь,ä́
аь,ä
а́а,áː
аа,aː
а̂́,ɐ́
а̂,ɐ
а́,á
а,a
^ъ,ʔ
:,ː
^ʼ,ʲ
